waktu,sensor_id,lokasi,co,co2,suhu,kelembaban
2026-06-05 08:00:00,EM001,Bengkel Alat Berat,12.0,680.0,33.5,73.0
2026-06-05 08:05:00,EM001,Bengkel Alat Berat,14.0,710.0,34.0,72.0
2026-06-05 08:10:00,EM001,Bengkel Alat Berat,17.0,760.0,34.4,71.0
2026-06-05 08:15:00,EM001,Bengkel Alat Berat,21.0,820.0,34.8,70.0
2026-06-05 08:20:00,EM001,Bengkel Alat Berat,24.0,910.0,35.2,69.0
2026-06-05 08:25:00,EM001,Bengkel Alat Berat,22.0,870.0,35.0,69.0
2026-06-05 08:30:00,EM001,Bengkel Alat Berat,20.0,830.0,34.8,70.0
2026-06-05 08:35:00,EM001,Bengkel Alat Berat,18.0,790.0,34.5,70.0
2026-06-05 08:40:00,EM001,Bengkel Alat Berat,16.0,750.0,34.2,71.0
2026-06-05 08:45:00,EM001,Bengkel Alat Berat,15.0,720.0,34.0,72.0
2026-06-05 08:50:00,EM001,Bengkel Alat Berat,17.0,760.0,34.3,71.0
2026-06-05 08:55:00,EM001,Bengkel Alat Berat,20.0,810.0,34.7,70.0
2026-06-05 09:00:00,EM001,Bengkel Alat Berat,23.0,880.0,35.0,69.0
2026-06-05 09:05:00,EM001,Bengkel Alat Berat,27.0,950.0,35.4,68.0
2026-06-05 09:10:00,EM001,Bengkel Alat Berat,31.0,1020.0,35.8,67.0
2026-06-05 09:15:00,EM001,Bengkel Alat Berat,35.0,1100.0,36.1,66.0
2026-06-05 09:20:00,EM001,Bengkel Alat Berat,38.0,1180.0,36.4,65.0
2026-06-05 09:25:00,EM001,Bengkel Alat Berat,34.0,1120.0,36.0,66.0
2026-06-05 09:30:00,EM001,Bengkel Alat Berat,30.0,1050.0,35.6,67.0
2026-06-05 09:35:00,EM001,Bengkel Alat Berat,26.0,960.0,35.2,68.0
2026-06-05 09:40:00,EM001,Bengkel Alat Berat,22.0,880.0,34.8,69.0
2026-06-05 09:45:00,EM001,Bengkel Alat Berat,19.0,820.0,34.5,70.0
2026-06-05 09:50:00,EM001,Bengkel Alat Berat,16.0,760.0,34.1,71.0
2026-06-05 09:55:00,EM001,Bengkel Alat Berat,14.0,710.0,33.9,72.0
2026-06-05 10:00:00,EM001,Bengkel Alat Berat,13.0,690.0,33.8,72.0
2026-06-05 10:05:00,EM001,Bengkel Alat Berat,16.0,740.0,34.1,71.0
2026-06-05 10:10:00,EM001,Bengkel Alat Berat,20.0,820.0,34.5,70.0
2026-06-05 10:15:00,EM001,Bengkel Alat Berat,25.0,920.0,35.0,69.0
2026-06-05 10:20:00,EM001,Bengkel Alat Berat,30.0,1030.0,35.5,68.0
2026-06-05 10:25:00,EM001,Bengkel Alat Berat,36.0,1150.0,36.0,67.0
2026-06-05 10:30:00,EM001,Bengkel Alat Berat,42.0,1280.0,36.5,66.0
2026-06-05 10:35:00,EM001,Bengkel Alat Berat,45.0,1360.0,36.8,65.0
2026-06-05 10:40:00,EM001,Bengkel Alat Berat,40.0,1250.0,36.3,66.0
2026-06-05 10:45:00,EM001,Bengkel Alat Berat,34.0,1120.0,35.8,67.0
2026-06-05 10:50:00,EM001,Bengkel Alat Berat,28.0,980.0,35.3,68.0
2026-06-05 10:55:00,EM001,Bengkel Alat Berat,23.0,890.0,34.9,69.0
2026-06-05 11:00:00,EM001,Bengkel Alat Berat,18.0,800.0,34.4,70.0
2026-06-05 11:05:00,EM001,Bengkel Alat Berat,11.915,700.612,33.195,71.55
2026-06-05 11:10:00,EM001,Bengkel Alat Berat,13.889,673.879,34.54,66.854
2026-06-05 11:15:00,EM001,Bengkel Alat Berat,16.698,783.085,34.817,72.677
2026-06-05 11:20:00,EM001,Bengkel Alat Berat,20.945,858.368,36.087,71.249
2026-06-05 11:25:00,EM001,Bengkel Alat Berat,24.89,937.315,34.581,65.291
