waktu,sensor_id,lokasi,ch4,h2s,suhu,kelembaban
2026-06-05 08:00:00,GS001,Area Dasar Tambang,0.4,2.0,30.8,78.0
2026-06-05 08:05:00,GS001,Area Dasar Tambang,0.5,3.0,31.0,77.0
2026-06-05 08:10:00,GS001,Area Dasar Tambang,0.7,4.0,31.2,77.0
2026-06-05 08:15:00,GS001,Area Dasar Tambang,0.9,6.0,31.4,76.0
2026-06-05 08:20:00,GS001,Area Dasar Tambang,1.1,8.0,31.6,75.0
2026-06-05 08:25:00,GS001,Area Dasar Tambang,1.0,7.0,31.5,75.0
2026-06-05 08:30:00,GS001,Area Dasar Tambang,0.9,6.0,31.4,76.0
2026-06-05 08:35:00,GS001,Area Dasar Tambang,0.8,5.0,31.3,76.0
2026-06-05 08:40:00,GS001,Area Dasar Tambang,0.7,4.0,31.2,77.0
2026-06-05 08:45:00,GS001,Area Dasar Tambang,0.6,3.0,31.1,77.0
2026-06-05 08:50:00,GS001,Area Dasar Tambang,0.8,5.0,31.3,76.0
2026-06-05 08:55:00,GS001,Area Dasar Tambang,1.0,7.0,31.5,75.0
2026-06-05 09:00:00,GS001,Area Dasar Tambang,1.2,9.0,31.8,74.0
2026-06-05 09:05:00,GS001,Area Dasar Tambang,1.4,11.0,32.0,74.0
2026-06-05 09:10:00,GS001,Area Dasar Tambang,1.6,13.0,32.2,73.0
2026-06-05 09:15:00,GS001,Area Dasar Tambang,1.8,15.0,32.5,72.0
2026-06-05 09:20:00,GS001,Area Dasar Tambang,2.0,18.0,32.8,71.0
2026-06-05 09:25:00,GS001,Area Dasar Tambang,1.7,14.0,32.4,72.0
2026-06-05 09:30:00,GS001,Area Dasar Tambang,1.5,12.0,32.2,73.0
2026-06-05 09:35:00,GS001,Area Dasar Tambang,1.3,10.0,32.0,74.0
2026-06-05 09:40:00,GS001,Area Dasar Tambang,1.1,8.0,31.8,75.0
2026-06-05 09:45:00,GS001,Area Dasar Tambang,0.9,6.0,31.5,76.0
2026-06-05 09:50:00,GS001,Area Dasar Tambang,0.7,4.0,31.3,77.0
2026-06-05 09:55:00,GS001,Area Dasar Tambang,0.6,3.0,31.1,77.0
2026-06-05 10:00:00,GS001,Area Dasar Tambang,0.5,2.0,31.0,78.0
2026-06-05 10:05:00,GS001,Area Dasar Tambang,0.7,4.0,31.2,77.0
2026-06-05 10:10:00,GS001,Area Dasar Tambang,1.0,7.0,31.5,76.0
2026-06-05 10:15:00,GS001,Area Dasar Tambang,1.3,10.0,31.9,75.0
2026-06-05 10:20:00,GS001,Area Dasar Tambang,1.6,13.0,32.3,74.0
2026-06-05 10:25:00,GS001,Area Dasar Tambang,1.9,16.0,32.7,73.0
2026-06-05 10:30:00,GS001,Area Dasar Tambang,2.2,20.0,33.0,72.0
2026-06-05 10:35:00,GS001,Area Dasar Tambang,2.5,24.0,33.4,71.0
2026-06-05 10:40:00,GS001,Area Dasar Tambang,2.1,18.0,33.0,72.0
2026-06-05 10:45:00,GS001,Area Dasar Tambang,1.8,14.0,32.6,73.0
2026-06-05 10:50:00,GS001,Area Dasar Tambang,1.4,10.0,32.2,74.0
2026-06-05 10:55:00,GS001,Area Dasar Tambang,1.0,7.0,31.8,75.0
2026-06-05 11:00:00,GS001,Area Dasar Tambang,0.8,5.0,31.5,76.0
2026-06-05 11:05:00,GS001,Area Dasar Tambang,0.378,2.086,31.543,77.594
2026-06-05 11:10:00,GS001,Area Dasar Tambang,0.525,2.861,31.04,77.454
2026-06-05 11:15:00,GS001,Area Dasar Tambang,0.681,4.07,30.226,78.57
2026-06-05 11:20:00,GS001,Area Dasar Tambang,0.922,5.3,32.895,66.735
2026-06-05 11:25:00,GS001,Area Dasar Tambang,1.073,8.328,31.199,70.601
2026-06-05 11:30:00,GS001,Area Dasar Tambang,0.956,7.288,29.079,78.387
2026-06-05 11:35:00,GS001,Area Dasar Tambang,0.898,5.714,30.668,72.908
2026-06-05 11:40:00,GS001,Area Dasar Tambang,0.835,5.146,29.148,74.773
2026-06-05 11:45:00,GS001,Area Dasar Tambang,0.665,4.207,29.515,81.941
2026-06-05 11:50:00,GS001,Area Dasar Tambang,0.599,2.861,30.257,74.531
2026-06-05 11:55:00,GS001,Area Dasar Tambang,0.749,5.019,29.763,69.372
2026-06-05 12:00:00,GS001,Area Dasar Tambang,0.985,6.495,30.552,72.273
2026-06-05 12:05:00,GS001,Area Dasar Tambang,1.158,9.72,31.872,74.726
2026-06-05 12:10:00,GS001,Area Dasar Tambang,1.301,10.712,32.276,70.967
2026-06-05 12:15:00,GS001,Area Dasar Tambang,1.658,12.375,31.831,71.289
2026-06-05 12:20:00,GS001,Area Dasar Tambang,1.812,14.616,32.148,71.32
2026-06-05 12:25:00,GS001,Area Dasar Tambang,1.941,18.349,33.113,70.748
2026-06-05 12:30:00,GS001,Area Dasar Tambang,1.671,14.446,32.094,71.117
2026-06-05 12:35:00,GS001,Area Dasar Tambang,1.506,12.814,30.474,75.248
2026-06-05 12:40:00,GS001,Area Dasar Tambang,1.202,10.087,34.016,75.446
2026-06-05 12:45:00,GS001,Area Dasar Tambang,1.108,7.821,31.839,74.244
2026-06-05 12:50:00,GS001,Area Dasar Tambang,0.869,5.93,31.75,73.668
2026-06-05 12:55:00,GS001,Area Dasar Tambang,0.668,3.782,31.789,78.68
2026-06-05 13:00:00,GS001,Area Dasar Tambang,0.609,3.116,31.209,78.207
2026-06-05 13:05:00,GS001,Area Dasar Tambang,0.512,1.993,30.342,84.908
2026-06-05 13:10:00,GS001,Area Dasar Tambang,0.682,3.893,31.742,77.776
2026-06-05 13:15:00,GS001,Area Dasar Tambang,0.944,7.314,31.381,72.623
2026-06-05 13:20:00,GS001,Area Dasar Tambang,1.362,10.25,30.286,80.332
2026-06-05 13:25:00,GS001,Area Dasar Tambang,1.642,12.995,34.355,74.472
2026-06-05 13:30:00,GS001,Area Dasar Tambang,1.898,15.577,33.461,74.392
2026-06-05 13:35:00,GS001,Area Dasar Tambang,2.201,19.368,33.172,71.799
2026-06-05 13:40:00,GS001,Area Dasar Tambang,2.367,22.587,34.155,63.611
